16:16:01.955 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:16:01.986 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression8336780628568296744.so: /tmp/mleukam/libgkl_compression8336780628568296744.so: failed to map segment from shared object: Operation not permitted)
16:16:01.988 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:16:02.011 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression3740477886140903901.so: /tmp/mleukam/libgkl_compression3740477886140903901.so: failed to map segment from shared object: Operation not permitted)
16:16:02.178 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.179 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.0.6.0
16:16:02.179 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
16:16:02.179 INFO  BaseRecalibrator - Executing as mleukam@cri16cn228 on Linux v2.6.32-573.12.1.el6.x86_64 amd64
16:16:02.179 INFO  BaseRecalibrator - Java runtime: Java HotSpot(TM) 64-Bit Server VM v1.8.0_92-b14
16:16:02.179 INFO  BaseRecalibrator - Start Date/Time: February 21, 2019 4:16:01 PM CST
16:16:02.179 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.179 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Version: 2.16.0
16:16:02.180 INFO  BaseRecalibrator - Picard Version: 2.18.7
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:16:02.180 INFO  BaseRecalibrator - Deflater: JdkDeflater
16:16:02.180 INFO  BaseRecalibrator - Inflater: JdkInflater
16:16:02.180 INFO  BaseRecalibrator - GCS max retries/reopens: 20
16:16:02.180 INFO  BaseRecalibrator - Using google-cloud-java patch 6d11bef1c81f885c26b2b56c8616b7a705171e4f from https://github.com/droazen/google-cloud-java/tree/dr_all_nio_fixes
16:16:02.180 INFO  BaseRecalibrator - Initializing engine
16:16:02.724 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
16:16:02.740 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
16:16:03.141 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/mleukam/mouse/mgp.v5.merged.indels.dbSNP142.normed.vcf
16:16:03.307 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/mleukam/mouse/mgp.v5.merged.snps_all.dbSNP142.vcf
16:16:03.401 INFO  BaseRecalibrator - Done initializing engine
16:16:03.439 INFO  BaseRecalibrationEngine - The covariates being used here: 
16:16:03.439 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	ContextCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	CycleCovariate
16:16:03.443 INFO  ProgressMeter - Starting traversal
16:16:03.444 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
16:31:54.769 INFO  ProgressMeter -          10:69829148             15.9              35044000        2210222.6
16:32:04.794 INFO  ProgressMeter -          10:70466087             16.0              35414000        2210266.8
16:32:14.803 INFO  ProgressMeter -          10:71135713             16.2              35789000        2210655.4
16:32:24.819 INFO  ProgressMeter -          10:71839839             16.4              36167000        2211205.9
16:32:34.838 INFO  ProgressMeter -          10:72571213             16.5              36544000        2211673.7
16:32:44.842 INFO  ProgressMeter -          10:73299341             16.7              36923000        2212287.2
16:32:54.857 INFO  ProgressMeter -          10:74036660             16.9              37284000        2211796.8
16:33:04.876 INFO  ProgressMeter -          10:74726934             17.0              37627000        2210252.1
16:33:14.893 INFO  ProgressMeter -          10:75389629             17.2              38008000        2210947.9
16:33:24.902 INFO  ProgressMeter -          10:76002187             17.4              38391000        2211764.7
16:33:34.909 INFO  ProgressMeter -          10:76660025             17.5              38772000        2212456.0
16:33:44.925 INFO  ProgressMeter -          10:77289127             17.7              39150000        2212945.9
16:33:54.952 INFO  ProgressMeter -          10:77920280             17.9              39530000        2213515.9
16:34:04.963 INFO  ProgressMeter -          10:78553417             18.0              39909000        2214052.6
16:34:14.986 INFO  ProgressMeter -          10:79296446             18.2              40290000        2214665.1
16:34:24.989 INFO  ProgressMeter -          10:79962467             18.4              40677000        2215633.5
16:34:35.010 INFO  ProgressMeter -          10:80566979             18.5              41065000        2216602.5
16:34:45.024 INFO  ProgressMeter -          10:81167205             18.7              41453000        2217568.1
16:34:55.025 INFO  ProgressMeter -          10:82049578             18.9              41831000        2218011.8
16:35:05.036 INFO  ProgressMeter -          10:82755164             19.0              42209000        2218428.3
16:35:15.046 INFO  ProgressMeter -          10:83392531             19.2              42586000        2218787.4
16:35:25.064 INFO  ProgressMeter -          10:84064669             19.4              42970000        2219486.6
16:35:35.072 INFO  ProgressMeter -          10:84715854             19.5              43349000        2219938.6
16:35:45.078 INFO  ProgressMeter -          10:85365121             19.7              43735000        2220740.3
16:35:55.083 INFO  ProgressMeter -          10:86011675             19.9              44111000        2221025.0
16:36:05.095 INFO  ProgressMeter -          10:86624230             20.0              44485000        2221194.0
16:36:15.107 INFO  ProgressMeter -          10:87293245             20.2              44863000        2221560.1
16:36:25.116 INFO  ProgressMeter -          10:88010303             20.4              45248000        2222265.9
16:36:35.130 INFO  ProgressMeter -          10:88698011             20.5              45623000        2222465.8
16:36:45.139 INFO  ProgressMeter -          10:89390116             20.7              45995000        2222528.3
16:36:55.153 INFO  ProgressMeter -          10:90091128             20.9              46366000        2222529.4
16:37:05.174 INFO  ProgressMeter -          10:90794810             21.0              46730000        2222192.3
16:37:15.197 INFO  ProgressMeter -          10:91453239             21.2              47102000        2222225.7
16:37:25.212 INFO  ProgressMeter -          10:92146340             21.4              47482000        2222666.1
16:37:35.226 INFO  ProgressMeter -          10:92835902             21.5              47855000        2222745.2
16:37:45.236 INFO  ProgressMeter -          10:93510375             21.7              48226000        2222751.4
16:37:55.244 INFO  ProgressMeter -          10:94175793             21.9              48594000        2222625.4
16:38:05.255 INFO  ProgressMeter -          10:94841499             22.0              48972000        2222950.2
16:38:15.278 INFO  ProgressMeter -          10:95495183             22.2              49354000        2223431.9
16:38:25.290 INFO  ProgressMeter -          10:96172112             22.4              49735000        2223888.3
16:38:35.285 INFO  ProgressMeter -          10:96865106             22.5              50119000        2224477.6
16:38:45.294 INFO  ProgressMeter -          10:97594489             22.7              50495000        2224694.3
16:38:55.303 INFO  ProgressMeter -          10:98374702             22.9              50866000        2224689.3
16:39:05.325 INFO  ProgressMeter -          10:99081980             23.0              51249000        2225184.4
16:39:15.335 INFO  ProgressMeter -          10:99767123             23.2              51625000        2225389.8
16:39:25.344 INFO  ProgressMeter -         10:100534242             23.4              51998000        2225467.0
16:39:35.356 INFO  ProgressMeter -         10:101313743             23.5              52372000        2225577.8
16:39:45.381 INFO  ProgressMeter -         10:102145466             23.7              52736000        2225246.3
16:39:55.389 INFO  ProgressMeter -         10:102936490             23.9              53105000        2225155.3
16:40:05.390 INFO  ProgressMeter -         10:103782284             24.0              53470000        2224909.9
16:40:15.414 INFO  ProgressMeter -         10:104715786             24.2              53831000        2224467.4
16:40:25.425 INFO  ProgressMeter -         10:105501784             24.4              54195000        2224173.9
16:40:35.431 INFO  ProgressMeter -         10:106246873             24.5              54562000        2224014.2
16:40:45.447 INFO  ProgressMeter -         10:107044309             24.7              54929000        2223841.7
16:40:55.457 INFO  ProgressMeter -         10:107798905             24.9              55303000        2223961.9
16:41:05.476 INFO  ProgressMeter -         10:108498539             25.0              55680000        2224187.0
16:41:15.483 INFO  ProgressMeter -         10:109227900             25.2              56057000        2224428.2
16:41:25.491 INFO  ProgressMeter -         10:109970237             25.4              56433000        2224622.5
16:41:35.496 INFO  ProgressMeter -         10:110714122             25.5              56804000        2224624.2
16:41:45.503 INFO  ProgressMeter -         10:111360575             25.7              57179000        2224778.7
16:41:55.566 INFO  ProgressMeter -         10:112025615             25.9              57559000        2225044.2
16:42:05.570 INFO  ProgressMeter -         10:112789205             26.0              57930000        2225047.4
16:42:15.596 INFO  ProgressMeter -         10:113577708             26.2              58306000        2225210.3
16:42:25.617 INFO  ProgressMeter -         10:114379249             26.4              58679000        2225257.4
16:42:35.642 INFO  ProgressMeter -         10:115125431             26.5              59052000        2225302.5
16:42:45.652 INFO  ProgressMeter -         10:115805705             26.7              59427000        2225441.4
